areasymbol,areaname,musym,natmusym,muname,map_order,mukey,dmu_nasis_group,coiid,compname,localphase,comppct_r,comp_acres,majcompflag,compkind,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,particle_size_class,diag_features,temp_regime,moisture_subclass,moisture_regime,MLRA_NASIS,ecosite_id,ecosite_name,rangeprod_l,rangeprod_r,rangeprod_h,oth_veg_class_type,oth_veg_class_id,oth_veg_class_name,coforprod_plantsyms,coeplants_plantsyms,cocanopy_plantsyms,map_l_in,map_r_in,map_h_in,maat_l_f,maat_r_f,maat_h_f,ffd_l,ffd_r,ffd_h,elev_l_ft,elev_r_ft,elev_h_ft,slope_l,slope_r,slope_h,aspect_rep,aspect_cw,aspect_ccw,landscape,landform,geomorph_comp,hillslope_profile,slope_shp_across_down,parent_material,restrict_kind,restrict_depth_l_in,restrict_depth_r_in,restrict_depth_h_in,soil_depth_l_in,soil_depth_r_in,soil_depth_h_in,o_horizon_depth_in,ksat_l_0_10_in,ksat_l_10_40_in,ksat_l_0_40_in,awc_l_0_10_in,awc_r_0_10_in,awc_h_0_10_in,awc_l_0_40_in,awc_r_0_40_in,awc_h_0_40_in,surf_texture,frags_r_2mm_3in_on_surf,frags_lo_2mm_3in_on_surf,frags_hi_2mm_3in_on_surf,frags_r_gt_3in_on_surf,frags_lo_gt_3in_on_surf,frags_hi_gt_3in_on_surf,surfhzn_frags_r_2mm-3in,surfhzn_frags_r_gt_3in,subsurf_frags_r_2mm-3in,subsurf_frags_lo_2mm-3in,subsurf_frags_hi_2mm-3in,subsurf_frags_r_gt_3in,subsurf_frags_lo_gt_3in,subsurf_frags_hi_gt_3in,albedo_dry_r,clay_r_surf_,clay_r_max_0_20in,surf_structure,pH_l_0_10in,pH_h_0_10in,pH_l_10_40in,pH_h_10_40in,CaCO3_l_0_10in,CaCO3_h_0_10in,CaCO3_l_10_40in,CaCO3_h_10_40in,SAR_l_0_10in,SAR_h_0_10in,SAR_l_10_40in,SAR_h_10_40in,EC_l_0_10in,EC_h_0_10in,EC_l_10_40in,EC_h_10_40in,water_table_l_in,water_table_h_in,water_table_months,drainage_class,flood_freq,flood_dur,pond_freq,pond_dur,pond_depth_h,pond_depth_l,pond_depth_rv
CA792,"Sequoia and Kings Canyon National Parks, California",1011,2t8yx,"Typic Cryorthents, moraine-Glaciers complex, 15 to 90 percent slopes",order 4,2777246,2-SON SEKI,2101139,Typic Cryorthents,moraine,82,4174,yes,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA010CA,Alpine Talus,,,,,,,,,,36,46,57,28,30,34,40,50,70,10250,11890,14040,15,69,90,15,140,250,mountains,moraines on cirques,center third of mountainflank,"backslope, footslope","linear/linear, linear/convex",outwash and/or till derived from metamorphic rock and/or granite,,,,,,59,,0,high,high,high,0.1,0.7,0.8,0.4,1.8,2.4,GR-LS,35,17,58,40,11,100,17,9,21,14,38,12,12,47,0.37,3,3,weak medium subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1011,2t8yx,"Typic Cryorthents, moraine-Glaciers complex, 15 to 90 percent slopes",order 4,2777246,2-SON SEKI,2101141,Glaciers,,15,764,yes,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,36,46,57,28,30,34,40,50,70,10250,11890,14040,15,38,90,5,140,250,mountains,alpine glaciers on cirques,center third of mountainflank,backslope,convex/linear,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1011,2t8yx,"Typic Cryorthents, moraine-Glaciers complex, 15 to 90 percent slopes",order 4,2777246,2-SON SEKI,2101140,Rock outcrop,granitic,3,153,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,36,46,57,28,30,34,40,50,70,10250,11890,14040,15,50,100,15,140,250,mountains,cirques,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1101,2tbfb,"Rock outcrop, granitic crags-Typic Cryorthents complex, 30 to 100 percent slopes",order 4,2766852,2-SON SEKI,2405838,Typic Cryorthents,,49,9397,yes,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA010CA,Alpine Talus,,,,,,,,,,28,43,58,28,32,36,40,55,75,9660,13180,13980,30,69,90,69,360,0,mountains,talus slopes on mountain slopes,upper third of mountainflank,"backslope, footslope","linear/linear, linear/convex",talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.7,0.8,0.4,1.8,2.4,GR-LS,3,2,43,90,42,100,17,9,20,13,35,12,12,50,0.37,3,3,weak medium subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1101,2tbfb,"Rock outcrop, granitic crags-Typic Cryorthents complex, 30 to 100 percent slopes",order 4,2766852,2-SON SEKI,2405837,Rock outcrop,granitic crags,49,9397,yes,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,28,43,58,28,32,36,40,55,75,9660,11790,13980,30,62,100,274,360,0,mountains,"cirque headwalls, ridges",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1101,2tbfb,"Rock outcrop, granitic crags-Typic Cryorthents complex, 30 to 100 percent slopes",order 4,2766852,2-SON SEKI,2405955,Benchlake,,2,384,no,series,Entisols,Orthents,Cryorthents,Lithic Cryorthents,sandy-skeletal,"ochric epipedon(0-7), lithic contact(19-79)",Cryic,Typic,Xeric,22A,R022AA102CA,Alpine Bedrock Benches,,,,,,,,,,28,43,58,28,32,36,40,55,75,9660,11700,13980,15,25,45,223,360,0,mountains,structural benches on mountain slopes,mountainflank,backslope,concave/concave,colluvium over residuum weathered from granite,Lithic bedrock,4,19,20,,19,,0,high,high,high,0.2,0.5,0.7,0.3,0.7,1.1,GRV-LS,48,2,48,17,2,43,35,3,45,26,56,0,0,18,0.17,7,7,weak medium subangular blocky structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1102,2t8yy,"Rock outcrop, granitic crags, 30 to 100 percent slopes",order 4,2777248,2-SON SEKI,2101142,Rock outcrop,granitic crags,88,28935,yes,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,31,41,57,27,32,36,40,50,75,8790,12040,14320,30,92,100,330,360,0,mountains,"cirque headwalls, ridges",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1102,2t8yy,"Rock outcrop, granitic crags, 30 to 100 percent slopes",order 4,2777248,2-SON SEKI,2405833,Typic Cryorthents,,10,3288,no,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA010CA,Alpine Talus,,,,,,,,,,31,41,57,27,32,36,40,50,75,8790,12040,14320,30,69,90,69,360,0,mountains,talus slopes on mountain slopes,upper third of mountainflank,"backslope, footslope","linear/linear, linear/convex",talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.7,0.8,0.4,1.8,2.4,GR-LS,3,2,43,90,42,100,17,9,20,13,35,12,12,50,0.37,3,3,weak medium subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1102,2t8yy,"Rock outcrop, granitic crags, 30 to 100 percent slopes",order 4,2777248,2-SON SEKI,2405957,Benchlake,,2,658,no,series,Entisols,Orthents,Cryorthents,Lithic Cryorthents,sandy-skeletal,"ochric epipedon(0-7), lithic contact(19-79)",Cryic,Typic,Xeric,22A,R022AA102CA,Alpine Bedrock Benches,,,,,,,,,,31,41,57,27,32,36,40,50,75,8790,11700,14320,15,25,45,223,360,0,mountains,structural benches on mountain slopes,mountainflank,backslope,concave/concave,colluvium over residuum weathered from granite,Lithic bedrock,4,19,20,,19,,0,high,high,high,0.2,0.5,0.7,0.3,0.7,1.1,GRV-LS,48,2,48,17,2,43,35,3,45,26,56,0,0,18,0.17,7,7,weak medium subangular blocky structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1103,2t8z1,"Typic Cryorthents, 30 to 90 percent slopes",order 4,2777251,2-SON SEKI,2405840,Typic Cryorthents,,87,29988,yes,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA010CA,Alpine Talus,,,,,,,,,,27,40,57,28,32,36,40,50,70,9400,13180,14290,30,72,90,267,360,0,mountains,talus slopes on mountain slopes,mountainflank,"backslope, footslope","linear/linear, linear/convex",talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.7,0.8,0.4,1.8,2.4,GR-LS,3,2,43,90,42,100,17,9,20,13,35,12,12,50,0.37,3,3,weak medium subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
